LTP	lipid	lipid chains	LTP volume	lipid volume	 lipid SMILES	interaction type	screen
ATCAY	PC(32:1)	Phosphatidylcholine (32:1)	1906	651.83	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCC)=O	new	in cellulo
ATCAY	PC(34:1)	Phosphatidylcholine (34:1)	1906	679.1500000000009	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BNIPL	PC(O-32:1)	Phosphatidylcholine (O-32:1)	1758	642.0400000000004	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COCCCCCCCCCCCCCCCC	new	in cellulo
BPI	PC(17:1)	Phosphatidylcholine (17:1)	2623	446.92999999999967	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(C=C)=O)COC(CCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(19:1)	Phosphatidylcholine (19:1)	2623	474.24999999999955	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(C=C)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(30:0)	Phosphatidylcholine (30:0)	2623	623.5100000000001	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(31:1)	Phosphatidylcholine (31:1)	2623	638.1700000000002	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(32:0)	Phosphatidylcholine (32:0)	2623	650.8300000000005	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(32:1)	Phosphatidylcholine (32:1) => (16:1/16:0)	2623	651.8300000000003	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(32:2)	Phosphatidylcholine (32:2)	2623	652.8300000000004	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCC/C=C/CCCCCC)=O	new	in cellulo
BPI	PC(33:1)	Phosphatidylcholine (33:1)	2623	665.4900000000001	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(34:1)	Phosphatidylcholine (34:1) => (18:1/16:0)	2623	679.1500000000002	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(34:2)	Phosphatidylcholine (34:2) => (16:1/18:1)	2623	680.1500000000005	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(/C=C\CCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(36:1)	Phosphatidylcholine (36:1)	2623	706.4700000000006	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(36:2)	Phosphatidylcholine (36:2) => (18:1/18:1)	2623	707.4700000000003	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(36:3)	Phosphatidylcholine (36:3)	2623	708.4700000000009	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(38:2)	Phosphatidylcholine (38:2)	2623	734.7900000000009	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\CCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PC(O-32:1)	Phosphatidylcholine (O-32:1)	2623	642.0400000000006	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCCCCCC	new	in cellulo
