level_0,index,Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,BRAIN_N01_neg m/z,BRAIN_N01_neg RT mean,BRAIN_N01_neg Normalized Area,BRAIN_N50_neg m/z,BRAIN_N50_neg RT mean,BRAIN_N50_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM,Ratio_N50/N01,[M-H]-,[M+HCOO]-
0,0,,0.56,10.0,837.5377,7.58 - 9.22,1,1200000.0,-,-,0.0,837.5377,7.51,2320000.0,00:01.0,0.0,2320000.0,00:01.0,7.51,,,#DIV/0!,[],[]
1,1,,0.84,8.65,791.5387,8.10 - 9.47,1,370000.0,-,-,0.0,791.5387,9.05,740000.0,00:01.0,0.0,740000.0,00:01.0,9.05,,,#DIV/0!,[],['Sphingomyelin (d38:7)']
2,2,,0.68,10.6,786.5269,3.41 - 8.51,1,320000.0,-,-,0.0,786.5269,4.54,640000.0,00:01.0,0.0,640000.0,00:01.0,4.54,,,#DIV/0!,['Phosphatidylserine (36:2)'],['Phosphatidylcholine (33:3)' 'Phosphatidylethanolamine (36:3)']
3,3,,0.72,8.65,890.6251,9.17 - 11.45,1,180000.0,-,-,0.0,890.6251,10.2,354000.0,00:01.0,0.0,354000.0,00:01.0,10.2,,,#DIV/0!,['Phosphatidylserine (O-45:6)'],['Phosphatidylcholine (O-42:7)' 'Phosphatidylethanolamine (O-45:7)']
4,4,,0.66,10.04,790.5515,5.49 - 8.06,1,150000.0,-,-,0.0,790.5515,7.94,300000.0,00:01.0,0.0,300000.0,00:01.0,7.94,,,#DIV/0!,['Phosphatidylserine (36:0)'],"['Phosphatidylcholine (33:1)' 'Phosphatidylethanolamine (36:1)'
 'Hexosyl ceramide (d38:6)']"
5,5,,0.75,8.65,816.5713,7.42 - 10.96,1,140000.0,-,-,0.0,816.5713,8.13,271000.0,00:01.0,0.0,271000.0,00:01.0,8.13,,,#DIV/0!,['Phosphatidylserine (38:1)'],"['Phosphatidylcholine (35:2)' 'Phosphatidylethanolamine (38:2)'
 'Hexosyl ceramide (d40:7)']"
6,6,,0.7,9.51,878.5105,5.44 - 9.34,1,110000.0,-,-,0.0,878.5105,6.24,226000.0,00:01.0,0.0,226000.0,00:01.0,6.24,,,#DIV/0!,[],['Phosphatidylserine (40:7)']
7,7,,0.69,10.65,814.5939,8.26 - 9.72,1,87000.0,-,-,0.0,814.5939,9.47,174000.0,00:01.0,0.0,174000.0,00:01.0,9.47,,,#DIV/0!,['Phosphatidylserine (O-39:2)'],['Phosphatidylcholine (O-36:3)' 'Phosphatidylethanolamine (O-39:3)']
8,8,,0.7,9.34,884.6796,11.57 - 12.65,1,80000.0,-,-,0.0,884.6796,12.17,161000.0,00:01.0,0.0,161000.0,00:01.0,12.17,,,#DIV/0!,['Phosphatidylserine (O-44:2)'],['Phosphatidylethanolamine (O-44:3)']
9,9,,0.66,10.24,876.6459,10.24 - 11.25,1,77000.0,-,-,0.0,876.6459,10.98,155000.0,00:01.0,0.0,155000.0,00:01.0,10.98,,,#DIV/0!,"['Phosphatidylcholine (43:5)' 'Phosphatidylethanolamine (46:5)'
 'Dihexosyl ceramide (d35:0)']",['Ceramide phosphate (d50:6)']
10,10,,0.69,10.65,798.598,10.80 - 12.29,1,74000.0,-,-,0.0,798.598,11.76,147000.0,00:01.0,0.0,147000.0,00:01.0,11.76,,,#DIV/0!,"['Phosphatidylcholine (37:2)' 'Phosphatidylethanolamine (40:2)'
 'Hexosyl ceramide (d42:7)']",[]
11,11,,0.62,9.16,873.6826,11.32 - 12.75,1,68000.0,-,-,0.0,873.6826,12.03,136000.0,00:01.0,0.0,136000.0,00:01.0,12.03,,,#DIV/0!,"['Phosphatidate (O-50:6)' 'Sphingomyelin (d47:6)'
 'Ceramide phosphoethanolamine (d50:6)']",[]
12,12,,0.65,10.24,760.5107,3.45 - 8.21,1,67000.0,-,-,0.0,760.5107,4.86,133000.0,00:01.0,0.0,133000.0,00:01.0,4.86,,,#DIV/0!,['Phosphatidylserine (34:1)'],['Phosphatidylcholine (31:2)' 'Phosphatidylethanolamine (34:2)']
13,13,,0.65,10.56,714.5049,6.84 - 8.38,1,65000.0,-,-,0.0,714.5049,7.87,130000.0,00:01.0,0.0,130000.0,00:01.0,7.87,,,#DIV/0!,"['Phosphatidylcholine (31:2)' 'Phosphatidylethanolamine (34:2)'
 'Hexosyl ceramide (d36:7)']",['Ceramide phosphate (d38:3)']
