sample	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
cell line	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1
tet	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus
LPA 16:1	0,000665236	0,000511421	0,000684812	0,000943194	0,000665402	0,000414659	0,000799589	0,00050344	0,000792434	0,000622115	0,000549953	0,001404842	0,001249079	0,001147157	0,00137186	0,002294524	0,001775959	0,002350821
LPA 16:0	0,002233455	0,003624762	0,003221932	0,004278927	0,002970745	0,002417776	0,002871844	0,002971745	0,004695191	0,004482582	0,002564064	0,005163329	0,005614881	0,004782758	0,005074171	0,013435245	0,008163189	0,00729778
LPA 18:2	0,00020793	0	0,000183219	0,000130096	0	0	0,00019625	0	0,000123508	0,000295783	0	0,000217524	0,000138576	0,000251054	0,000194209	0,000508051	0,000293705	0,000484259
LPA 18:1	0,002805972	0,005608647	0,003601502	0,006789561	0,003683847	0,003437997	0,005505083	0,004343725	0,008396421	0,006416041	0,004868496	0,010449519	0,013801347	0,013574242	0,010542918	0,030511529	0,017949456	0,012519809
LPA 18:0	0,001456667	0,001621974	0,001365567	0,001706958	0,001825596	0,001548858	0,0026829	0,000825891	0,00201987	0,001719972	0,002202211	0,002848251	0,002266857	0,002506079	0,002595167	0,004219952	0,001722718	0,00243004
LPC O-16:3	0,000202136	0,000461828	0,000422245	0,000843079	0,000971965	0,000902076	0	0	0,000326193	0	0	0,000199627	0,002467922	0,000655411	0,001681123	0,001982937	0,001388475	0,001373909
LPC O-16:2	0	0,000180567	0,000560703	0,00045189	0,00011444	0,000108242	0,000258421	0,000270233	0	0,000379245	0,000283545	0,000498378	0,000205814	0,000221594	0,000456426	0,000645122	0,000691545	0,00251605
LPC O-16:1	0,006083534	0,007712648	0,007969957	0,007333117	0,008689137	0,007099053	0,008832582	0,008674251	0,010638647	0,00983221	0,007667158	0,010044523	0,010489782	0,009604882	0,011906791	0,014462127	0,013535354	0,015870315
