	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
cell line	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1
tet	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus
LPG O-14:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPG O-16:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000131765	0
LPG O-16:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPG O-18:2	0	0	0,000261114	0	0	0	0	0	0	0	0	0	0	0	0,000392071	0	0,000565531	0
LPG O-18:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000174633	0
LPG O-18:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPG O-20:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPG 16:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPG 16:0	0,000207506	0,000140764	0,000226499	0,000311353	0,000194442	0,000185893	0,000182735	0,000110386	0	0	0	0,000297239	0,00020383	0,000179127	0,000234467	0,000479665	0,000234753	0,000498946
LPG 18:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPG 18:1	0,000727329	0,000922616	0,000716163	0,000862667	0,000669573	0,000591493	0,00037162	0,0002979	0,000138326	0,000160297	0,000167028	0,000262646	0,000222049	0	0	0,000177655	0,000104415	0,00023378
LPG 18:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000127541	0
LPG 20:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
