level_0,index,Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LIVER_N50_neg m/z,LIVER_N50_neg RT mean,LIVER_N50_neg Normalized Area,LIVER_N01_neg m/z,LIVER_N01_neg RT mean,LIVER_N01_neg Normalized Area,Sample Profile (Ratio),protein Normalized Area,control Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM,Ratio N50/N01,[M-H]-,[M+HCOO]-
0,0,,2.04,5.74,830.5891,8.31 - 9.65,1,9500000.0,830.5891,9.06,19000000.0,-,-,0.0,1.00:0,19000000.0,0.0,1.00:0,9.06,,,#DIV/0!,['Phosphatidylserine (39:1)'],['Phosphatidylcholine (36:2)' 'Phosphatidylethanolamine (39:2)']
1,1,,1.82,5.74,766.5365,8.52 - 9.73,1,8400000.0,766.5365,9.35,16800000.0,-,-,0.0,1.00:0,16800000.0,0.0,1.00:0,9.35,,,#DIV/0!,['Phosphatidylcholine (35:4)' 'Phosphatidylethanolamine (38:4)'],['Ceramide phosphate (d42:5)']
2,2,,1.74,5.74,856.6039,8.35 - 10.06,1,6000000.0,856.6039,9.52,12100000.0,-,-,0.0,1.00:0,12100000.0,0.0,1.00:0,9.52,,,#DIV/0!,['Phosphatidylserine (41:2)'],['Phosphatidylcholine (38:3)' 'Phosphatidylethanolamine (41:3)']
3,3,,1.43,5.74,854.5889,7.63 - 9.44,1,5600000.0,854.5889,8.98,11300000.0,-,-,0.0,1.00:0,11300000.0,0.0,1.00:0,8.98,,,#DIV/0!,['Phosphatidylserine (41:3)'],['Phosphatidylcholine (38:4)' 'Phosphatidylethanolamine (41:4)']
4,4,,1.45,5.74,804.5733,8.01 - 9.06,1,5200000.0,804.5733,8.65,10500000.0,-,-,0.0,1.00:0,10500000.0,0.0,1.00:0,8.65,,,#DIV/0!,['Phosphatidylserine (37:0)'],['Phosphatidylcholine (34:1)' 'Phosphatidylethanolamine (37:1)']
5,5,,1.58,5.74,742.5364,8.69 - 9.89,1,4800000.0,742.5364,9.48,9600000.0,-,-,0.0,1.00:0,9600000.0,0.0,1.00:0,9.48,,,#DIV/0!,['Phosphatidylcholine (33:2)' 'Phosphatidylethanolamine (36:2)'],['Ceramide phosphate (d40:3)']
6,6,,1.28,5.74,802.5576,6.77 - 8.18,1,4500000.0,802.5576,7.63,8940000.0,-,-,0.0,1.00:0,8940000.0,0.0,1.00:0,7.63,,,#DIV/0!,['Phosphatidylserine (37:1)'],['Phosphatidylcholine (34:2)' 'Phosphatidylethanolamine (37:2)']
7,7,,1.38,5.74,882.6196,9.35 - 10.42,1,2300000.0,882.6196,9.99,4690000.0,-,-,0.0,1.00:0,4690000.0,0.0,1.00:0,9.99,,,#DIV/0!,['Phosphatidylserine (43:3)'],['Phosphatidylcholine (40:4)' 'Phosphatidylethanolamine (43:4)']
8,8,,1.4,5.74,880.6039,8.27 - 9.76,1,2200000.0,880.6039,9.1,4380000.0,-,-,0.0,1.00:0,4380000.0,0.0,1.00:0,9.1,,,#DIV/0!,['Phosphatidylserine (43:4)'],"['Phosphatidylcholine (40:5)' 'Phosphatidylethanolamine (43:5)'
 'Dihexosyl ceramide (d32:0)']"
9,9,,1.1,5.74,828.5727,7.12 - 8.69,1,2100000.0,828.5727,8.06,4280000.0,-,-,0.0,1.00:0,4280000.0,0.0,1.00:0,8.06,,,#DIV/0!,['Phosphatidylserine (39:2)'],['Phosphatidylcholine (36:3)' 'Phosphatidylethanolamine (39:3)']
10,10,,1.07,5.74,826.5567,6.57 - 7.89,1,2100000.0,826.5567,8.06,4270000.0,-,-,0.0,1.00:0,4270000.0,0.0,1.00:0,8.06,,,#DIV/0!,['Phosphatidylserine (39:3)'],['Phosphatidylcholine (36:4)' 'Phosphatidylethanolamine (39:4)']
11,11,,1.11,5.74,744.5521,10.03 - 10.77,1,1700000.0,744.5521,10.48,3420000.0,-,-,0.0,1.00:0,3420000.0,0.0,1.00:0,10.48,,,#DIV/0!,['Phosphatidylcholine (33:1)' 'Phosphatidylethanolamine (36:1)'],['Ceramide phosphate (d40:2)']
12,12,,1.03,5.74,852.5725,6.75 - 8.40,1,1700000.0,852.5725,7.67,3340000.0,-,-,0.0,1.00:0,3340000.0,0.0,1.00:0,7.67,,,#DIV/0!,['Phosphatidylserine (41:4)'],"['Phosphatidylcholine (38:5)' 'Phosphatidylethanolamine (41:5)'
 'Dihexosyl ceramide (d30:0)']"
13,13,,1.01,5.74,885.5468,6.65 - 8.14,1,1700000.0,885.5468,7.8,3310000.0,-,-,0.0,1.00:0,3310000.0,0.0,1.00:0,7.8,,,#DIV/0!,['Phosphatidylinositol (38:4)'],[]
14,14,,0.95,5.74,747.5627,6.10 - 7.34,1,1300000.0,747.5627,6.99,2590000.0,-,-,0.0,1.00:0,2590000.0,0.0,1.00:0,6.99,,,#DIV/0!,[],"['Phosphatidate (O-37:1)' 'Sphingomyelin (d34:1)'
 'Ceramide phosphoethanolamine (d37:1)']"
15,15,,1.13,5.74,768.5525,9.31 - 10.42,1,1200000.0,768.5525,9.89,2440000.0,-,-,0.0,1.00:0,2440000.0,0.0,1.00:0,9.89,,,#DIV/0!,['Phosphatidylcholine (35:3)' 'Phosphatidylethanolamine (38:3)'],[]
16,16,,0.96,5.74,764.5204,7.10 - 8.73,1,1200000.0,764.5204,8.06,2350000.0,-,-,0.0,1.00:0,2350000.0,0.0,1.00:0,8.06,,,#DIV/0!,['Phosphatidylcholine (35:5)' 'Phosphatidylethanolamine (38:5)'],['Ceramide phosphate (d42:6)']
17,17,,0.93,5.74,582.5079,7.80 - 9.23,1,1200000.0,582.5079,8.9,2300000.0,-,-,0.0,1.00:0,2300000.0,0.0,1.00:0,8.9,,,#DIV/0!,[],['Ceramide (d34:1)']
18,18,,0.72,6.43,519.4033,8.40 - 13.57,1,1100000.0,519.4033,8.57,2130000.0,-,-,0.0,1.00:0,2130000.0,0.0,1.00:0,8.57,,,#DIV/0!,[],[]
19,19,,0.92,5.74,861.5464,6.63 - 8.35,1,1000000.0,861.5464,7.89,2090000.0,-,-,0.0,1.00:0,2090000.0,0.0,1.00:0,7.89,,,#DIV/0!,['Phosphatidylinositol (36:2)'],[]
20,20,,1.07,5.74,792.5515,8.69 - 10.12,1,950000.0,792.5515,9.46,1900000.0,-,-,0.0,1.00:0,1900000.0,0.0,1.00:0,9.46,,,#DIV/0!,['Phosphatidylcholine (37:5)' 'Phosphatidylethanolamine (40:5)'],['Ceramide phosphate (d44:6)']
21,21,,0.87,5.74,738.5046,6.87 - 8.23,1,930000.0,738.5046,7.93,1850000.0,-,-,0.0,1.00:0,1850000.0,0.0,1.00:0,7.93,,,#DIV/0!,['Phosphatidylcholine (33:4)' 'Phosphatidylethanolamine (36:4)'],['Ceramide phosphate (d40:5)']
22,22,,1.04,5.74,698.51,7.84 - 9.15,1,920000.0,698.51,8.73,1840000.0,-,-,0.0,1.00:0,1840000.0,0.0,1.00:0,8.73,,,#DIV/0!,['Phosphatidylcholine (O-31:3)' 'Phosphatidylethanolamine (O-34:3)'],[]
23,23,,0.35,5.68,887.5535,3.27 - 8.90,1,860000.0,887.5535,8.27,1710000.0,-,-,0.0,1.00:0,1710000.0,0.0,1.00:0,8.27,,,#DIV/0!,[],[]
24,24,,0.89,5.74,714.5049,7.07 - 8.40,1,840000.0,714.5049,8.01,1680000.0,-,-,0.0,1.00:0,1680000.0,0.0,1.00:0,8.01,,,#DIV/0!,"['Phosphatidylcholine (31:2)' 'Phosphatidylethanolamine (34:2)'
 'Hexosyl ceramide (d36:7)']",['Ceramide phosphate (d38:3)']
25,25,,0.74,6.35,722.5101,7.21 - 8.90,1,830000.0,722.5101,8.61,1660000.0,-,-,0.0,1.00:0,1660000.0,0.0,1.00:0,8.61,,,#DIV/0!,"['Lysophosphatidylethanolamine (36:5)' 'Phosphatidylcholine (O-33:5)'
 'Phosphatidylethanolamine (O-36:5)']",[]
26,26,,1.02,5.74,794.5678,10.06 - 10.66,1,780000.0,794.5678,10.37,1570000.0,-,-,0.0,1.00:0,1570000.0,0.0,1.00:0,10.37,,,#DIV/0!,['Phosphatidylcholine (37:4)' 'Phosphatidylethanolamine (40:4)'],['Ceramide phosphate (d44:5)']
27,27,,0.89,5.74,716.5209,8.40 - 9.40,1,760000.0,716.5209,9.02,1520000.0,-,-,0.0,1.00:0,1520000.0,0.0,1.00:0,9.02,,,#DIV/0!,['Phosphatidylcholine (31:1)' 'Phosphatidylethanolamine (34:1)'],['Ceramide phosphate (d38:2)']
28,28,,0.9,5.74,748.5258,7.67 - 9.31,1,680000.0,748.5258,8.73,1360000.0,-,-,0.0,1.00:0,1360000.0,0.0,1.00:0,8.73,,,#DIV/0!,['Phosphatidylcholine (O-35:6)' 'Phosphatidylethanolamine (O-38:6)'],[]
29,29,,0.93,5.74,818.5882,8.01 - 10.08,1,630000.0,818.5882,9.35,1260000.0,-,-,0.0,1.00:0,1260000.0,0.0,1.00:0,9.35,,,#DIV/0!,['Phosphatidylserine (38:0)'],"['Phosphatidylcholine (35:1)' 'Phosphatidylethanolamine (38:1)'
 'Hexosyl ceramide (d40:6)']"
