Lipid	Protein	InVivo	InVitro	LiteratureOriginal	LiteratureGreen	LiteratureConsensus	
LPE	SEC14L5	0	1,899629041	0	0	0	
PE	SEC14L5	0	2,932374031	0	0	0	
DAG	SEC14L2	4,175867418	0	0	0	0	
PI	SEC14L2	7,782948793	0	1	1	1	
FA	SEC14L4	0	3,944690613	0	0	0	
PC	SEC14L6	6,045318069	0	0	0	0	
PC-O	SEC14L6	4,571859244	0	0	0	0	
PE	SEC14L6	1,719286825	0	0	0	0	
PC-O	BNIPL	1,446221398	0	0	0	0	
PC	ATCAY	4,157465253	0	0	0	0	
FA	RLBP1	0	4,199255328	0	0	0	
PA	RLBP1	0	5,700706203	0	0	0	
PC	RLBP1	0	6,464794646	0	0	0	
PE	RLBP1	0	8,583810254	0	0	0	
PG	RLBP1	0	10	0	0	0	
PG/BMP	RLBP1	0	6,141772888	0	0	0	
PGP	RLBP1	0	4,065895523	0	0	0	
CL	RLBP1	0	3,286928237	0	0	0	
FA	TTPAL	0	2,709517218	0	0	0	
LPC	TTPAL	0	1,265997842	0	0	0	
LPE	TTPAL	0	2,943409668	0	0	0	
LPG	TTPAL	0	1,074012744	0	0	0	
PA	TTPAL	0	3,878084937	0	0	0	
PC	TTPAL	0	3,479610405	0	0	0	
PE	TTPAL	0	8,12235008	0	0	0	
PG	TTPAL	0	8,973810048	0	0	0	
PG/BMP	TTPAL	0	3,50073728	0	0	0	
CL	TTPAL	0	2,287728112	0	0	0	
PA	TTPA	0	2,576157412	0	0	0	
PG	TTPA	0	5,049913043	0	0	0	
PG/BMP	TTPA	0	6,625626483	0	0	0	
d*HexCer	GLTP	8,631189233	4,032519082	1	1	1	
t*HexCer	GLTP	10	3,87438918	1	1	1	
t*Hex2Cer	GLTP	2,696437379	0	0	0	0	
d*SHexCer	GLTP	0	3,168459051	0	0	0	
FA	GLTP	0	4,98325544	0	0	0	
FAL	GLTP	0	4,752115746	0	0	0	
LPE	GLTP	0	3,120651588	0	0	0	
LPE-O	GLTP	0	1	0	0	0	
LPG	GLTP	0	1	0	0	0	
d*CerP	GLTPD1	9,349862467	0	1	1	1	
d*SM	GLTPD1	7,859130568	5,700176606	0	0	0	
DHSM	GLTPD1	2,344394815	2,619108103	0	0	0	
t*SM	GLTPD1	1	0	0	0	0	
PG/BMP	GLTPD1	0	2,827148903	0	0	0	
PC	PITPNA	2,969502806	8,515391225	1	1	1	
PI	PITPNA	0	2,839403228	1	1	1	
PC	PITPNB	4,619803622	8,234477495	1	1	1	
PI	PITPNB	0	3,479610405	1	1	1	
PG	PITPNB	0	7,669824754	0	0	0	
PG/BMP	PITPNB	0	3,219686434	0	0	0	
PA	PITPNC1	0	7,3982668	1	1	1	
PI	PITPNC1	0	1,478956832	1	1	1	
PC	STARD2	10	10	1	1	1	
PC-O	STARD2	7,846365228	5,060268911	1	1	1	Q
PC	STARD10	9,048104062	6,974899265	1	1	1	
PC-O	STARD10	6,551888747	0	1	1	1	Q
PE	STARD10	0	9,754830084	1	1	1	
PE-O	STARD10	4,301816017	0	1	1	1	Q
PG	STARD10	0	9,007258586	0	0	0	
PG/BMP	STARD10	0	3,786697939	0	0	0	
d*Cer	STARD11	5,737269573	0	1	1	1	Q
dCer	STARD11	8,417398167	0	1	1	1	Q
DHCer	STARD11	3,604361612	0	1	1	0	Q
DHOH*Cer	STARD11	2,867466989	0	1	1	0	Q
tCer	STARD11	2,169279323	0	1	1	0	Q
PC	STARD11	4,481375063	0	0	0	0	
TAG	STARD11	5,225700529	0	0	0	0	
CH/CE	OSBP	5	0	0	1	1	
CH/CE	OSBPL1A	5	0	0	1	1	
CH/CE	OSBPL10	5	0	0	1	1	
PE	OSBPL5	0	3,662733263	0	0	0	
CH/CE	OSBP2	5	0	0	1	1	
CH/CE	OSBPL8	5	0	0	1	1	
CH/CE	OSBPL11	5	0	0	1	1	
CH/CE	OSBPL7	5	0	0	1	1	
PS	OSBPL9	4,004715479	5	0	0	0	Q
CH/CE	OSBPL9	5	0	0	1	1	
PIPs	OSBPL2	5	0	0	0	0	
CH/CE	OSBPL2	5	0	0	1	1	
PC	BPIFB2	7,947013679	0	0	0	0	
PC-O	BPIFB2	5,793084109	0	0	0	0	
PG/BMP	BPIFB2	4,427941751	0	0	0	0	
BMP	BPIFB2	3,192613505	0	0	0	0	Q
PC	BPI	8,131706169	0	0	0	0	
PC-O	BPI	5,217930846	0	0	0	0	
PE	BPI	4,464179639	0	0	0	0	
PI	BPI	4,109206663	0	0	0	0	
PS	BPI	2,893784581	0	0	0	0	
FA	CRABP2	0	2,325165921	0	0	0	Q
FA	FABP5	0	6,684344247	1	1	1	
FA	FABP1	0	8,394156626	1	1	1	
LPC	FABP1	0	2,114266858	0	0	0	
LPE	FABP1	0	5,978254555	0	0	0	
LPG	FABP1	0	1,612316638	0	0	0	
PE	FABP1	0	2,549462174	0	0	0	
PG	FABP1	0	4,333395075	0	0	0	
FA	FABP7	0	7,261767776	1	1	1	
d*SM	LCN1	1,746182872	0	0	0	0	Q
PC	LCN1	8,713542717	0	1	1	1	
PC-O	LCN1	6,452299973	0	1	1	1	
PG	LCN15	0	1,692256491	0	0	0	
PG/BMP	LCN15	0	4,436981622	0	0	0	
FA	PMP2	0	6,399189549	1	1	1	Q
VA	RBP1	3,151127468	0	1	1	1	
VA	RBP4	4,330106082	0	1	1	1	
FA	RBP5	0	1	0	0	0	Q
PC	GM2A	4,523335319	0	1	1	1	Q
PC-O	GM2A	4,211861804	0	1	1	1	Q
PE	GM2A	5,6331074	0	0	0	0	Q
PI	GM2A	5,433480387	0	0	0	0	Q
PG/BMP	GM2A	4,427941751	0	0	0	0	Q
LPG	SCP2	0	3,007179091	0	0	0	
PE	SCP2	0	2,954324695	0	0	0	
PG	SCP2	0	3,678628268	0	0	0	
PG/BMP	SCP2	0	3,829572685	0	0	0	
FA	HSDL2	0	2,204945238	0	0	0	Q
PG	HSDL2	0	1,913786263	0	0	0	
TAG	HSDL2	0	3,379370107	0	0	0	Q
FA	SCP2D1	0	4,409549523	0	0	0	
LPC	SCP2D1	0	3,704511369	0	0	0	
LPE	SCP2D1	0	5,236429217	0	0	0	
LPG	SCP2D1	0	4,666702483	0	0	0	
PE	SCP2D1	0	4,229987446	0	0	0	
PG/BMP	SCP2D1	0	4,561694491	0	0	0	
