OriginalSubclass	ConsensusSubclass	Class
BMP	PG	PG
CL	CL	CL
d*Cer	dCer	Cer
d*CerP	dCerP	CerP
d*HexCer	dHexCer	HexCer
d*SHexCer	dSHexCer	SHexCer
d*SM	dSM	SM
DAG	DAG	DAG
dCer	dCer	Cer
DHCer	DHCer	Cer
DHOH*Cer	tCer	Cer
DHSM	DHSM	SM
FA	FA	FA
FAL	FAL	FA
LPC	LPC	PC
LPE	LPE	PE
LPE-O	LPE-O	PE
LPG	LPG	PG
PA	PA	PA
PC	PC	PC
PC-O	PC-O	PC
PE	PE	PE
PE-O	PE-O	PE
PG	PG	PG
PG/BMP	PG	PG
PGP	PGP	PGP
PI	PI	PI
PS	PS	PS
t*Hex2Cer	tHex2Cer	Hex2Cer
t*HexCer	tHexCer	HexCer
t*SM	tSM	SM
TAG	TAG	TAG
tCer	tCer	Cer
VA	VA	VA
