"LTPProtein	ProteinDomain	FullIdentityOfLipid	Lipid	Screen	Intensity	Adduct	TotalCarbonChainLength	TotalCarbonChainUnsaturations	IonMode	mz	MeanOfRetentionTime	MinimumOfRetentionTime	MaximumOfRetentionTime	LipidAmbiguity	LikelySubclass";;;;
"ATCAY	CRAL-TRIO	[M+H]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	400000	[M+H]+	34	1	pos	760.5777	10.71	10.43	11.06	PC	PC";;;;
"ATCAY	CRAL-TRIO	[M+H]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	260000	[M+H]+	32	1	pos	732.5496	9.38	7.65	10.42	PC	PC";;;;
"BNIPL	CRAL-TRIO	[M+H]+: Phosphatidylcholine (O-32:1)	PC(O-32:1)	in cellulo	72000	[M+H]+	32	1	pos	718.5827	9.99	9.67	10.94	PC-O	PC-O";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	5800000	[M+H]+	34	1	pos	760.594	10.43	10.13	10.91	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (36:2)	PC(36:2)	in cellulo	3400000	[M+H]+	36	2	pos	786.6075	10.6	10.17	11.06	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	3300000	[M+H]+	32	1	pos	732.5633	9.16	8.88	9.79	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (34:2)	PC(34:2)	in cellulo	1800000	[M+H]+	34	2	pos	758.5786	9.36	9.09	10.39	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-34:1)	PC(O-34:1)	in cellulo	770000	[M+H]+	34	1	pos	746.6128	11.3	11.02	11.91	PC-O	PC-O";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-32:1)	PC(O-32:1)	in cellulo	470000	[M+H]+	32	1	pos	718.5836	10	9.75	10.88	PC-O	PC-O";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (36:1)	PC(36:1)	in cellulo	460000	[M+H]+	36	1	pos	788.6256	11.8	11.47	12.35	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (32:2)	PC(32:2)	in cellulo	390000	[M+H]+	32	2	pos	730.5483	8.2	7.98	9.01	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylethanolamine (34:1) => (18:1/16:0)	PE(34:1)	in cellulo	380000	[M+H]+	34	1	pos	718.5452	10.67	10.13	10.93	PE	PE";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (36:3)	PC(36:3)	in cellulo	310000	[M+H]+	36	3	pos	784.5949	9.68	9.36	10.58	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (33:1)	PC(33:1)	in cellulo	290000	[M+H]+	33	1	pos	746.5796	9.79	7.05	10.53	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (38:2)	PC(38:2)	in cellulo	260000	[M+H]+	38	2	pos	814.6418	11.89	11.42	12.7	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (30:0)	PC(30:0)	in cellulo	250000	[M+H]+	30	0	pos	706.548	8.94	7.93	9.31	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylethanolamine (36:2) => (18:1/18:1)	PE(36:2)	in cellulo	220000	[M+H]+	36	2	pos	744.5633	10.84	10.04	11.2	PE	PE";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (19:1)	PC(19:1)	in cellulo	200000	[M+H]+	19	1	pos	550.3504	3.89	2.99	4.14	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-36:2)	PC(O-36:2)	in cellulo	170000	[M+H]+	36	2	pos	772.6305	11.42	11.24	12.62	PC-O	PC-O";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-34:2)	PC(O-34:2)	in cellulo	160000	[M+H]+	34	2	pos	744.6001	10.3	9.93	11.7	PC-O	PC-O";;;;
"BPI	LBP_BPI_CETP	[M+Na]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	160000	[M+Na]+	34	1	pos	782.5759	10.45	10.23	10.84	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylserine (36:1) => (18:1/18:0)	PS(36:1)	in cellulo	140000	[M+H]+	36	1	pos	790.5658	10.59	10.41	10.76	PS	PS";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylethanolamine (34:2) => (16:1/18:1)	PE(34:2)	in cellulo	100000	[M+H]+	34	2	pos	716.5328	9.56	9.36	10.06	PE	PE";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (17:1)	PC(17:1)	in cellulo	96000	[M+H]+	17	1	pos	522.3192	2.29	1.62	2.63	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylserine (34:1) => (18:1/16:0)	PS(34:1)	in cellulo	95000	[M+H]+	34	1	pos	762.5373	9.34	9.09	9.66	PS	PS";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (31:1)	PC(31:1)	in cellulo	93000	[M+H]+	31	1	pos	718.5475	8.57	8.25	9.93	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (32:0)	PC(32:0)	in cellulo	87000	[M+H]+	32	0	pos	734.5794	10.21	10.02	10.58	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+Na]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	86000	[M+Na]+	32	1	pos	754.5453	9.17	8.96	9.62	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+H]+: Phosphatidylethanolamine (32:1) => (16:1/16:0)	PE(32:1)	in cellulo	83000	[M+H]+	32	1	pos	690.5159	9.42	8.95	9.8	PE	PE";;;;
"BPI	LBP_BPI_CETP	[M+H]+:Phosphatidylethanolamine (38:4) => (18:0/20:4)	PE(38:4)	in cellulo	65000	[M+H]+	38	4	pos	768.5632	11.01	10.72	11.18	PE	PE";;;;
"BPI	LBP_BPI_CETP	[M+NH4]+: Phosphatidylinositol (34:1) => (16:0/18:1)	PI(34:1)	in cellulo	57000	[M+NH4]+	34	1	pos	854.587	9.17	8.87	9.45	PI	PI";;;;
"BPI	LBP_BPI_CETP	[M+HCOO]-: Phosphatidylcholine (34:1) => (18:1/16:0)	PC(34:1)	in cellulo	190000	[M+HCOO]-	34	1	neg	804.5748	10.39	10.2	10.76	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+HCOO]-: Phosphatidylcholine (32:1) => (16:1/16:0)	PC(32:1)	in cellulo	120000	[M+HCOO]-	32	1	neg	776.5439	9.13	8.94	9.54	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+HCOO]-: Phosphatidylcholine (36:2) => (18:1/18:1)	PC(36:2)	in cellulo	110000	[M+HCOO]-	36	2	neg	830.59	10.54	10.33	10.96	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M+HCOO]-: Phosphatidylcholine (34:2) => (16:1/18:1)	PC(34:2)	in cellulo	75000	[M+HCOO]-	34	2	neg	802.5596	9.3	9.11	9.83	PC	PC";;;;
"BPI	LBP_BPI_CETP	[M-H]-: Phosphatidylinositol (36:2) => (18:1/18:1)	PI(36:2)	in cellulo	39000	[M-H]-	36	2	neg	861.549	9.28	9.03	9.7	PI	PI";;;;
"BPI	LBP_BPI_CETP	[M-H]-: Phosphatidylinositol (34:1) => (18:1/16:0)	PI(34:1)	in cellulo	31000	[M-H]-	34	1	neg	835.5328	9.14	8.87	9.4	PI	PI";;;;
"BPI	LBP_BPI_CETP	[M-H]-: Phosphatidylinositol (38:4) => (18:0/20:4)	PI(38:4)	in cellulo	30000	[M-H]-	38	4	neg	885.5487	9.46	9.15	9.58	PI	PI";;;;
"BPI	LBP_BPI_CETP	[M-H]-: Phosphatidylserine (34:1) => (16:0/18:1)	PS(34:1)	in cellulo	27000	[M-H]-	34	1	neg	760.5121	9.32	9.08	9.57	PS	PS";;;;
"BPI	LBP_BPI_CETP	[M-H]-: Phosphatidylinositol (36:1) => (18:1/18:0)	PI(36:1)	in cellulo	26000	[M-H]-	36	1	neg	863.5648	10.37	10.12	10.51	PI	PI";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	5000000	[M+H]+	34	1	pos	760.5775	10.62	10.37	11.07	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	2400000	[M+H]+	32	1	pos	732.5494	9.32	7.57	10.55	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (36:2)	PC(36:2)	in cellulo	2300000	[M+H]+	36	2	pos	786.5942	10.79	10.08	11.32	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (34:2)	PC(34:2)	in cellulo	1900000	[M+H]+	34	2	pos	758.5646	9.59	9.11	11.2	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-34:1)	PC(O-34:1)	in cellulo	1000000	[M+H]+	34	1	pos	746.6012	11.5	11.22	12.06	PC-O	PC-O";;;;
