sample Code	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	I1	I2	J1	J2	K1	K2	L1	L2	M1	M2	N1	N2				
Sample ID	wt	wt	PITPNC1	PITPNC1	STARD11	STARD11	BNIPL	BNIPL	FABP7	FABP7	SCP2D1	SCP2D1	GM2A	GM2A	BPIFB2	BPIFB2	Sec14L1	Sec14L1	HSDL2	HSDL2	LCN1	LCN1	GLTPD1	GLTPD1	CLVS2	CLVS2	PLEKHA	PLEKHA				
TET (ug/ml)	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1				
mol%	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28				
CE 14:0	0,00174704	0,005428664	0,019924733	0,021318303	0,018229305	0,012429954	0,008584497	0,004570121	0,011569635	0,005942964	0,046648556	0,030712292	0,024870924	0,018261082	0,037880529	0,042375607	0,043686233	0,019937259	0,004896556	0,053601812	0,008063339	0,026978513	0,008815695	0,011092388	0,030219929	0,030521464	0,02952737	0,003927772				
CE 16:1	0,028158958	0,047749772	0,080783145	0,091775024	0,069616216	0,083308346	0,085399631	0,055987621	0,067024064	0,06848885	0,094521498	0,06159739	0,071544157	0,064731733	0,100548182	0,126053574	0,087978003	0,09512411	0,05195776	0,050718446	0,073520286	0,113998394	0,067380974	0,063018135	0,097541856	0,08991432	0,051174423	0,037496118				
CE 16:0	0,130328459	0,134911251	0,176282189	0,205907208	0,183575596	0,193459475	0,196788452	0,140902517	0,16866279	0,178613912	0,263735291	0,195493492	0,182184831	0,183236076	0,216004508	0,258749345	0,215882175	0,20169022	0,132874798	0,235038797	0,200217672	0,27151008	0,179066357	0,201594856	0,236078975	0,233572036	0,215039108	0,161880226				
CE 18:2	0,026415518	0,02699098	0,066289151	0,069475484	0,056155436	0,062686186	0,075056552	0,044674679	0,050811109	0,070781803	0,065524705	0,042674026	0,050296833	0,044012204	0,074213674	0,102730636	0,066757632	0,077543835	0,037934352	0,043079138	0,075621546	0,104909266	0,065879168	0,070960752	0,077801313	0,069536336	0,051279017	0,035993099				
CE 18:1	0,344126904	0,318947799	0,43505706	0,489311343	0,449155591	0,476966685	0,484746475	0,39265473	0,396568551	0,454026631	0,444422575	0,337655615	0,47320583	0,443960772	0,569378788	0,674741541	0,411381985	0,438738516	0,289399382	0,306664356	0,412316534	0,51849344	0,414533741	0,461142366	0,578253996	0,495911197	0,361094324	0,365640233				
CE 18:0	0,003007734	0,004617791	0,003975553	0,011879969	0,008068777	0,003316106	0,004241459	0,000645731	0,006568584	0,002726525	0,030032478	0,016533402	0,007992719	0,007988394	0,011551946	0,012654378	0,01901851	0,014001449	0,001132342	0,031263773	0,006341223	0,013686588	0,004049943	0,004171922	0,0070948	0,014663749	0,015148858	0,002148474				
CE 20:5	0,001309048	0,00036347	0,002401981	0,003898096	0,001665801	0,002746565	0,00264978	0,000439487	0,003085635	0,001705139	0,002068655	0,001628931	0,000399602	0	0,005797476	0,009774589	0,002796365	0,005716265	0,001111733	0,002209545	0,001918296	0,005903783	0,002037716	0,003911749	0,004935563	0,002785102	0,00210551	0,000798514				
