Subfamily	HGNC	ProteinPseudonym	PH	SB	TMpd	Ankyrin	FFAT
I	OSBP	OSBP	90	382	NA	NA	T
I	OSBP2	ORP4	184	485	NA	NA	T
II	OSBPL1A	ORP1	237	510	NA	48	T
II	OSBPL2	ORP2	NA	36	NA	NA	T
III	OSBPL3	ORP3	53	489	NA	NA	T
III	OSBPL6	ORP6	88	533	NA	NA	T
III	OSBPL7	ORP7	49	440	NA	NA	T
IV	OSBPL5	ORP5	128	339	856	NA	F
IV	OSBPL8	ORP8	108	334	829	NA	F
V	OSBPL9	ORP9	NA	161	NA	NA	T
VI	OSBPL10	ORP10	76	368	NA	NA	T
VI	OSBPL11	ORP11	60	335	NA	NA	T
